Name                                                   Scope                Type     Value      Line     Class  Function Assignment
a                         array declaration in main function        array of int         0        61         0         0         11
arr                                          array parameter        array of int         0        36         0         5          0
b                      variable declaration in main function                bool         0        64         0         0         12
bi                                array declaration in class        array of int         0        43         1         0          5
char1                variable declaration in global function                char         0         8         0         1          3
class                                       class definition               class         0        54         1         0          0
const                                     constant parameter           const int         0        20         0         2          0
constBool              constant declaration in main function          const bool         0        69         0         0         17
ex                   variable declaration in global function                 int         0        23         0         2          4
f                      variable declaration in main function               float         0        65         0         0         13
func1                             global function definition                 int         0         6         0         1          0
func1                                 global function return                 int         0        18         0         1          0
func1                             global function definition                 int         0        20         0         2          0
func1                                 global function return                 int         0        24         0         2          0
int1                             global constant declaration           const int        58         3         0         0          1
obj                       class declaration in main function               class         0        75         1         0          0
ret1                              global function definition                 int         0        26         0         3          0
ret1                                  global function return                 int         0        29         0         3          0
ret1                              global function definition                 int         0        31         0         4          0
ret1                                  global function return                 int         0        34         0         4          0
ret1                            function definition in class                 int         0        46         1         6          0
ret1                                   class function return                 int         0        53         1         6          0
retarr                            global function definition                 int         0        36         0         5          0
retarr                                global function return                 int         0        39         0         5          0
script                         variable declaration in class              string         0        44         1         0          6
stud                                global class declaration               class         0        56         1         0          0
var                                       variable parameter                 int         0        20         0         2          0
varBool                variable declaration in main function                bool         0        68         0         0         16
varChar                variable declaration in main function                char         0        65         0         0         14
varInt                         variable declaration in class                 int         8        46         1         0          7
varInt                 variable declaration in main function                 int         2        60         0         0         10
varString              variable declaration in main function              string         0        66         0         0         15
varString1            variable declaration in class function              string         0        48         0         6          8
varString2            variable declaration in class function              string         0        49         0         6          9
x                                global variable declaration                 int         8         4         0         0          2
x                                         variable parameter                 int         0         6         0         1          0
x                                         variable parameter                 int         0        20         0         2          0
x                                         variable parameter                 int         0        31         0         4          0
y                                         constant parameter           const int         0         6         0         1          0
